,threshold,fpr,tpr
0,0.0,0.9988888888888889,1.0
1,0.01,0.9988888888888889,1.0
2,0.02,0.9988888888888889,1.0
3,0.03,0.9988888888888889,1.0
4,0.04,0.9988888888888889,1.0
5,0.05,0.9988888888888889,1.0
6,0.06,0.9988888888888889,1.0
7,0.07,0.9988888888888889,1.0
8,0.08,0.9988888888888889,1.0
9,0.09,0.9988888888888889,1.0
10,0.1,0.9988888888888889,1.0
11,0.11,0.9988888888888889,1.0
12,0.12,0.9988888888888889,1.0
13,0.13,0.9988888888888889,1.0
14,0.14,0.9988888888888889,1.0
15,0.15,0.9988888888888889,1.0
16,0.16,0.9988888888888889,1.0
17,0.17,0.9988888888888889,1.0
18,0.18,0.9988888888888889,1.0
19,0.19,0.9988888888888889,1.0
20,0.2,0.9988888888888889,1.0
21,0.21,0.9988888888888889,1.0
22,0.22,0.9988888888888889,1.0
23,0.23,0.9988888888888889,1.0
24,0.24,0.9988888888888889,1.0
25,0.25,0.9988888888888889,1.0
26,0.26,0.9988888888888889,1.0
27,0.27,0.9988888888888889,1.0
28,0.28,0.9988888888888889,1.0
29,0.29,0.9988888888888889,1.0
30,0.3,0.9988888888888889,1.0
31,0.31,0.9988888888888889,1.0
32,0.32,0.9988888888888889,1.0
33,0.33,0.9988888888888889,1.0
34,0.34,0.9988888888888889,1.0
35,0.35000000000000003,0.9988888888888889,1.0
36,0.36,0.9988888888888889,1.0
37,0.37,0.9988888888888889,1.0
38,0.38,0.9988888888888889,1.0
39,0.39,0.9988888888888889,1.0
40,0.4,0.9988888888888889,1.0
41,0.41000000000000003,0.9988888888888889,1.0
42,0.42,0.9988888888888889,1.0
43,0.43,0.9988888888888889,1.0
44,0.44,0.9988888888888889,1.0
45,0.45,0.9988888888888889,1.0
46,0.46,0.9988888888888889,1.0
47,0.47000000000000003,0.9988888888888889,1.0
48,0.48,0.9988888888888889,1.0
49,0.49,0.9988888888888889,1.0
50,0.5,0.9988888888888889,1.0
51,0.51,0.9988888888888889,1.0
52,0.52,0.9988888888888889,1.0
53,0.53,0.9988888888888889,1.0
54,0.54,0.9977777777777778,1.0
55,0.55,0.9944444444444445,1.0
56,0.56,0.9866666666666667,1.0
57,0.5700000000000001,0.9722222222222222,1.0
58,0.58,0.9433333333333334,1.0
59,0.59,0.91,1.0
60,0.6,0.8555555555555555,1.0
61,0.61,0.78,0.995
62,0.62,0.6838888888888889,0.985
63,0.63,0.5972222222222222,0.97
64,0.64,0.5083333333333333,0.92
65,0.65,0.42944444444444446,0.865
66,0.66,0.3522222222222222,0.825
67,0.67,0.2927777777777778,0.725
68,0.68,0.23833333333333334,0.635
69,0.6900000000000001,0.195,0.58
70,0.7000000000000001,0.1688888888888889,0.49
71,0.71,0.13944444444444445,0.44
72,0.72,0.11555555555555555,0.37
73,0.73,0.09722222222222222,0.35
74,0.74,0.08444444444444445,0.325
75,0.75,0.07722222222222222,0.28
76,0.76,0.06833333333333333,0.245
77,0.77,0.059444444444444446,0.21
78,0.78,0.05,0.16
79,0.79,0.04666666666666667,0.125
80,0.8,0.04111111111111111,0.075
81,0.81,0.03333333333333333,0.075
82,0.8200000000000001,0.028333333333333332,0.075
83,0.8300000000000001,0.022222222222222223,0.06
84,0.84,0.020555555555555556,0.045
85,0.85,0.016666666666666666,0.035
86,0.86,0.011666666666666667,0.035
87,0.87,0.008888888888888889,0.035
88,0.88,0.008888888888888889,0.03
89,0.89,0.0077777777777777776,0.025
90,0.9,0.006666666666666667,0.025
91,0.91,0.0038888888888888888,0.02
92,0.92,0.0033333333333333335,0.015
93,0.93,0.0022222222222222222,0.01
94,0.9400000000000001,0.0005555555555555556,0.0
95,0.9500000000000001,0.0,0.0
96,0.96,0.0,0.0
97,0.97,0.0,0.0
98,0.98,0.0,0.0
99,0.99,0.0,0.0
